"Sale Date","building_grade","square_feet_total_living","bedrooms","bath_full_count","bath_half_count","bath_3qtr_count","year_built","year_renovated","sq_ft_lot","standardized.residuals"
2006-01-11,10,4920,4,4,1,0,2007,0,112650,-2.33954289917951
2006-02-15,6,660,0,1,0,0,1955,0,225640,3.27271888980133
2006-02-27,10,3840,0,0,0,0,2008,0,236966,-2.00367975173738
2006-03-03,11,5800,5,4,1,0,2008,0,63162,-2.44828196510341
2006-03-20,9,3360,2,2,1,0,2005,0,8752,2.11451997241204
2006-03-21,6,900,2,1,0,0,1918,0,14043,3.59061077535203
2006-03-27,9,4710,4,2,1,2,2014,0,18498,-2.4951994172052
2006-03-28,11,5060,4,23,1,0,2016,0,89734,-2.53399549313768
2006-03-29,10,6880,5,1,1,4,2008,0,288367,-3.33529782354555
2006-04-06,11,4490,4,2,1,1,2008,0,55303,-2.16257543346021
2006-04-10,11,5140,4,2,1,4,2008,0,212572,-2.74625975478266
2006-04-17,11,6310,4,2,2,1,2005,0,36362,3.27945234234785
2006-04-19,12,5080,4,3,2,0,2005,0,180774,2.764864856085
2006-05-08,10,3320,4,1,1,2,1963,1989,10247,2.16803830170174
2006-05-08,12,6380,6,6,1,0,2007,0,15021,-2.30840811505622
2006-05-15,9,3700,4,3,0,1,2010,0,305173,-2.3283066988122
2006-05-18,9,5830,5,3,1,2,2014,0,10454,-2.19320005015572
2006-06-19,12,8090,4,3,1,1,2006,0,176418,2.64653183420777
2006-06-20,10,4710,4,2,1,1,1992,0,15167,4.34501004891271
2006-06-20,11,8490,7,3,8,1,2008,0,118483,-3.6694223883243
2006-07-12,10,5150,4,1,1,2,2015,0,221720,-2.31915831229397
2006-07-14,11,4380,4,3,2,0,2008,0,221720,-2.00528920578581
2006-07-19,11,5270,4,2,0,3,2001,0,18045,5.13399741548254
2006-07-27,9,3470,3,2,1,1,1985,2001,182516,2.22123868341298
2006-08-01,11,4640,4,3,1,0,2008,0,220413,-2.62505504834759
2006-08-10,12,7640,5,5,1,0,2007,0,144683,-3.12154544797887
2006-08-28,9,4040,4,3,0,0,2005,0,35042,-2.12624949238299
2006-09-22,11,6340,4,4,1,1,2007,0,45302,-2.97457964499437
2006-09-27,11,5980,4,3,1,1,2007,0,55756,-2.82647094578277
2006-10-02,8,4740,6,5,0,1,2007,0,544199,-2.73787394880558
2006-11-10,8,2800,4,2,1,1,1929,1993,10046,2.17913771423995
2006-11-17,10,3990,5,3,1,1,2008,0,11842,-2.05309175633891
2006-12-01,8,3660,3,2,0,0,2008,0,14820,-2.16585535900652
2006-12-20,4,340,0,0,0,1,1954,0,29933,2.73851087149452
2007-01-05,11,4610,4,4,1,0,2007,0,106722,-2.2472225747551
2007-01-09,12,7780,5,3,2,1,2008,0,266152,-3.17805660678968
2007-02-01,11,5380,4,3,2,0,2007,0,106722,-2.58740141811712
2007-02-27,9,3130,5,2,0,1,2014,0,5930,-2.28921491356102
2007-03-02,10,9360,4,3,1,1,2009,0,45738,-3.94731742285184
2007-03-20,9,4610,4,2,0,2,2015,0,95989,-2.91495104314148
2007-03-29,11,5360,4,3,1,1,2006,0,46609,2.91886854817258
2007-05-08,12,10630,5,4,1,1,2003,0,207781,2.80455380514439
2007-06-01,12,5300,4,3,1,0,2006,0,179031,3.57646929876453
2007-06-01,10,3090,3,1,1,2,1978,0,17715,2.34727623772429
2007-06-01,7,550,1,1,0,0,1979,0,17715,3.65550433139747
2007-06-05,9,3830,5,3,0,1,2009,0,9480,4.80098310289396
2007-06-05,9,3330,4,2,1,0,2009,0,7399,5.00591751256447
2007-06-05,9,3480,4,3,0,0,2008,0,10309,4.9510592773461
2007-06-05,9,3370,4,2,1,0,2008,0,7457,4.99615819265471
2007-06-05,9,3350,4,3,1,0,2008,0,5788,5.00435909424689
2007-06-05,9,4080,6,3,1,0,2008,0,8371,4.7052338389959
2007-06-05,9,3690,5,3,1,0,2009,0,6731,4.85834465867176
2007-06-12,11,5310,4,1,1,1,1985,0,199561,2.03362346868634
2007-06-12,7,900,1,1,0,1,1940,0,18102,3.16951545248753
2007-06-22,11,5020,4,3,1,1,2004,0,59677,2.34263585110395
2007-07-02,8,2820,3,1,1,1,1972,0,17995,3.20365745534322
2007-07-05,9,3130,4,2,1,1,1965,1997,13634,2.72690440855304
2007-07-27,9,2940,3,2,1,0,2015,0,23522,-2.17588631209066
2007-08-01,5,1540,3,1,0,1,1938,0,28183,3.84909113534025
2007-08-08,9,6340,10,2,2,7,2009,0,17328,-2.32780711052107
2007-08-22,9,3200,3,1,0,2,1968,0,19556,2.57160489780099
2007-08-22,5,310,0,0,0,0,1964,1992,19556,4.1486082044506
2007-09-25,8,2980,3,1,0,2,1980,0,19110,2.86882541179127
2007-11-14,8,3060,3,3,0,1,2008,0,41583,-2.03103696615444
2007-12-12,10,3410,5,3,0,1,2008,0,5794,4.79108494082033
2007-12-12,9,3660,4,3,1,0,2010,0,5833,4.76588795797496
2007-12-12,10,4500,5,2,1,2,2008,0,5169,4.34401175830499
2007-12-12,9,3480,4,3,1,0,2010,0,5035,4.83966772087306
2007-12-12,10,3310,4,2,1,1,2008,0,5650,4.8321504377431
2007-12-12,10,4340,5,2,1,1,2008,0,5086,4.40958077484239
2007-12-12,10,4390,5,3,1,1,2009,0,5476,4.38243473919722
2007-12-13,9,5270,4,3,0,1,2015,0,1008414,-2.12383508871821
2007-12-17,9,4710,5,3,1,1,2015,0,108542,3.48966416220439
2007-12-17,10,5100,4,3,1,0,2016,0,131301,3.23198871387887
2007-12-17,9,4910,4,3,1,0,2015,0,146779,3.40779304434434
2007-12-18,12,5390,4,3,1,0,2007,0,193842,3.82731457799395
2007-12-27,10,3950,4,3,1,1,2013,0,78844,-2.69444686318852
2008-02-26,13,11810,7,4,1,4,2000,0,139392,5.08390028662026
2008-03-31,9,4610,4,2,0,2,2015,0,95989,-2.91354922572433
2008-04-01,9,4610,4,2,0,2,2015,0,95989,-2.86168198128975
2008-06-06,12,5320,4,3,1,0,2007,0,178160,3.7186275383377
2008-06-09,11,4790,4,3,1,0,2008,0,7701,2.70470226977653
2008-06-11,6,1290,2,0,1,1,1961,0,18792,2.58159865184397
2008-06-11,7,1920,5,2,0,0,1961,0,18792,2.23197975006377
2008-07-01,7,1290,2,1,0,0,2008,0,2628,7.57376869635383
2008-07-01,7,1290,2,2,0,0,2008,0,2628,7.57376869635383
2008-07-01,7,1600,3,2,1,0,2009,0,6451,7.43982677800661
2008-07-01,7,1740,3,2,1,0,2008,0,3833,7.38897301479957
2008-07-01,7,1710,3,2,1,0,2008,0,4846,7.40128415250237
2008-07-01,7,1740,3,2,0,0,2008,0,4862,7.38897301479957
2008-07-01,7,1710,3,2,1,0,2008,0,4710,7.40128415250237
2008-07-01,7,1460,3,2,0,0,2008,0,4350,7.50392416408262
2008-07-01,7,1820,3,2,1,0,2009,0,4622,7.34953930150205
2008-07-01,7,1840,3,2,1,0,2008,0,4697,7.34794447270865
2008-07-01,7,1840,3,2,0,0,2008,0,5125,7.34794447270865
2008-07-01,7,1600,3,2,1,0,2008,0,5481,7.44643529484835
2008-07-01,7,1840,3,2,1,0,2008,0,5680,7.34794447270865
2008-07-01,7,1600,3,2,1,0,2008,0,5277,7.44643529484835
2008-07-01,7,1290,2,1,0,0,2008,0,2807,7.57376869635383
2008-07-01,7,1290,2,1,0,0,2008,0,2482,7.57376869635383
2008-07-01,7,1290,2,1,0,0,2008,0,2482,7.57376869635383
2008-07-01,7,1290,2,1,0,0,2008,0,2828,7.57376869635383
2008-07-01,7,1290,2,1,0,0,2008,0,2628,7.57376869635383
2008-07-01,7,1290,2,1,0,0,2008,0,2628,7.57376869635383
